dbo	TempUserFieldTable61	0
dbo	TempUserFieldTable62	0
dbo	TempUserFieldTable63	0
dbo	TempUserFieldTable64	0
dbo	TempUserFieldTable65	0
dbo	TempUserFieldTable66	0
dbo	TempUserFieldTable67	0
dbo	TempUserFieldTable68	0
dbo	TempUserFieldTable7	0
dbo	TempUserFieldTable70	0
dbo	TempUserFieldTable71	0
dbo	TempUserFieldTable72	0
dbo	TempUserFieldTable74	0
dbo	TempUserFieldTable75	0
dbo	TempUserFieldTable76	0
dbo	TempUserFieldTable77	0
dbo	TempUserFieldTable79	0
dbo	TempUserFieldTable8	0
dbo	TempUserFieldTable80	0
dbo	TempUserFieldTable81	0
dbo	TempUserFieldTable9	0
dbo	tempМ	4
dbo	tempНП	29
dbo	TG_UserLink	0
dbo	TraceLog	0
dbo	UN_Number	2762
dbo	UNLOCODE	0
dbo	UNLOCODERU	944
dbo	User_EDO	0
dbo	User_Filter	0
dbo	User_Function	0
dbo	User_Function_Menu	0
dbo	User_Function_Parameter	0
dbo	UserField	0
dbo	UserField_Exp	6
dbo	UserFieldType	16
dbo	UserFieldValue	0
dbo	UserLayout	7
dbo	Users	1
dbo	UserSettings	135
dbo	UserSettingsType	2
dbo	XLImort_OrdersSuppliers	0
dbo	XLImortPlaceCargo	675
dbo	XLImortTransport	0
dbo	XLImport_3th_Cargo	0
dbo	XLImport_3th_Header	0
dbo	XLImport_3th_VesselSchedule	0
dbo	XLImport_AutoData	0
dbo	XLImport_BGLCAccConf	0
dbo	XLImport_BillOfLading	0
dbo	XLImport_ConfFillShipBGLC	0
dbo	XLImport_Contragent	2
dbo	XLImport_Delivery_Period	0
dbo	XLImport_DistributionTUGoods	0
dbo	XLImport_DistrLocation	0
dbo	XLImport_Doc	0
dbo	XLImport_DPL	0
dbo	XLImport_ExportContPLP	0
dbo	XLImport_FuelTransOrder	0
dbo	XLImport_Goods	0
dbo	XLImport_GoodsNomin	0
dbo	XLImport_IntTrucking	0
dbo	XLImport_Laydown_area	0
dbo	XLImport_LinesScedule	0
dbo	XLImport_LoadingReq	0
dbo	XLImport_MatesReceipt	0
dbo	XLImport_MPL	0
dbo	XLImport_NotSOF	0
dbo	XLImport_NotSOF_Ship	0
dbo	XLImport_OrdersSuppliersRows	0
dbo	XLImport_OSV	0
dbo	XLImport_Persone	0
dbo	XLImport_Relations	0
dbo	XLImport_Req	0
dbo	XLImport_Route	0
dbo	XLImport_RoyStat	0
dbo	XLImport_RSN	0
dbo	XLImport_RZHD	0
dbo	XLImport_SalesPlan	0
dbo	XLImport_SIMatrix	0
dbo	XLImport_SOF	0
dbo	XLImport_Tally	0
dbo	XLImport_Tarifs	0
dbo	XLImport_TransportationSchemeExp	2
dbo	XLImport_TransportationSchemeImp	0
dbo	XLImport_TransQuotas	0
dbo	XLImport_UnLoadingReq	0
dbo	XLImport_Usluga	33
dbo	АвтоподпискаРолис	0
dbo	Адрес	1147
dbo	Аналитика	0
dbo	Банк	1161
dbo	БГ	0
dbo	БизнесПроцесс_Поля	0
dbo	БизнессПроцесс	0
