name|cols
----|----
Запрос_Клиента|185
Запрос_План|299
ЗаявкаНаПеревозку|82
Контейнер|224
Разнарядка_Местоположение|45
Рейс|63
name|column_id|name
----|---------|----
Запрос_План|159|ID_РегионОтпр
Запрос_План|160|ID_РегионНазн
Запрос_План|161|ПривязкаКЖдНакладной
Запрос_План|162|ДатаСбораКомлектаДоков
Запрос_План|163|ID_ТаможенноеУправление
Запрос_План|164|КопироватьТСД
Запрос_План|165|ID_РежимДТ
Запрос_План|166|ID_ТипКонтрагента
Запрос_План|167|Отгрузка
Запрос_План|168|СоздаватьАгентскую
Запрос_План|169|ID_МаршрАгент
Запрос_План|170|ВиднаПоставщику
Запрос_План|171|ВидЗависимостиАгентРасход
Запрос_План|172|ПроцентЗависимостиАгентРасход
Запрос_План|173|ВидЗависимостиАгентДоход
Запрос_План|174|ПроцентЗависимостиАгентДоход
Запрос_План|175|ID_ParentFromAgent
Запрос_План|176|ID_НалогРасходаАгент
Запрос_План|177|ID_НалогДоходаАгент
Запрос_План|178|Перемещение
Запрос_План|179|ID_ВидПеремещения
Запрос_План|180|ID_ПодразделениеОтправления
Запрос_План|181|ID_ПодразделениеНазначения
Запрос_План|182|Ответственные
Запрос_План|183|ID_Важность
Запрос_План|184|Дата_Начало_Расчет
Запрос_План|185|Дата_Окончание_Расчет
Запрос_План|186|Длительность_Расчет
Запрос_План|187|ID_Длительность_Расчет
Запрос_План|188|Дата_Начало_Расчет_Факт
Запрос_План|189|Дата_Окончание_Расчет_Факт
Запрос_План|190|Длительность_Расчет_Факт
Запрос_План|191|ID_Длительность_Расчет_Факт
Запрос_План|192|ППТ_Ref
Запрос_План|193|ID_XMLДокумент
Запрос_План|194|ID_СтатусСинхронизации
Запрос_План|195|ID_XML_Income
Запрос_План|196|ДатаДУ
Запрос_План|197|ДатаНаступленияПлатногоДемереджа
Запрос_План|198|ОсталосьДнейДоПлатногоДемереджа
Запрос_План|199|ЦенаДемереджа
Запрос_План|200|СуммарныеЗатратыНаДемередж
Запрос_План|201|СтавкаПервогоДняДемереджа
Запрос_План|202|ДатаНаступленияПлатногоХранения
Запрос_План|203|ОсталосьДнейДоПлатногоХранения
Запрос_План|204|ЦенаХранения
Запрос_План|205|СуммарныеЗатратыНаХранения
Запрос_План|206|СтавкаПервогоДняХранения
Запрос_План|207|ID_Распределение
Запрос_План|208|ID_СтатусКомплектаДок
Запрос_План|209|НеВыводитьНаПортал
Запрос_План|210|ДлительностьБезВремени
Запрос_План|211|ВремяПредостАмФактическое
Запрос_План|212|КопОтпр
Запрос_План|213|КопОтпрИзНапр
Запрос_План|214|ID_КопОтпрИз
Запрос_План|215|КопНазн
Запрос_План|216|КопНазнИзНапр
Запрос_План|217|ID_КопНазнИз
Запрос_План|218|РучнойМаршрут
Запрос_План|219|АвтоОтпр
Запрос_План|220|АвтоНазн
Запрос_План|221|Формирование
Запрос_План|222|КопОтпрИзНапр2
Запрос_План|223|КопНазнИзНапр2
Запрос_План|224|КопОтпрИз
Запрос_План|225|КопНазнИз
Запрос_План|226|ПривязыватьДТпоНомеруИнвойса
Запрос_План|227|НаименованиеПеревозчика
Запрос_План|228|ID_Конверсия
Запрос_План|229|ОтложенныйПлатеж
Запрос_План|230|ДатаПереходаПравСобственности
Запрос_План|231|СуммаИсчисленияКР
Запрос_План|232|КонверсияКР
Запрос_План|233|КонверсияКомиссия
Запрос_План|234|ДляКонверсии
