Тип_коррекции|2
Тип_разнарядки|2
Тип_Расчета|2
Таможенная_мера|2
ТаможенныеЛьготы|2
Тип_CMR|2
Тип_Документа_ГТД|2
Тип_Документа_Коносамента|2
Тип_Выставления_Услуги|2
Тип_Груза|2
Пол|2
ПричинаЗамещения|2
Примечание_Тип|2
Разнарядка_Параметры_Значения|2
Переход_Собственности|2
ОтметкаРуководителя|2
Обязательные_Документы_НеЗав|2
РежимДТ|2
СредстваСлежения_Активность|2
EDI_EQUIPMENT_SUPPLIER_CODE|2
EDI_FULL_OR_EMPTY_INDICATOR_CODE|2
EDI_РольКонтрагента|2
EDI_Форматы|2
SchemaInfo|2
БП_Условие_Тип|2
UserSettingsType|2
XLImport_Contragent|2
XLImport_TransportationSchemeExp|2
БП_Автозапуск|2
БП_ВложенныйБП|2
БП_Действие_Критерий|2
КонтрольныеДаты|2
Критерии_Оценки|2
ЕдиницаИзмеренияСУТ|2
Дата_ГТД|2
График_оплаты_счетов|2
Вид_Учета|2
Вид_Даты_ПланОплаты|2
Вид_Загрузки|2
МераКонтроля|1
Категория_счета|1
Импорт_Файл|1
Users|1
Temp_TableGTDXML|1
SecurityGroupAssigns|1
portal_settings|1
portal_users|1
portal_users_in_groups|1
portal_journals_list|1
portal_mail_reports|1
portal_groups|1
CreatedLogins|1
EcranCreateOrdersSup|1
Import_Invoice_UL|1
Сервис_Слежения|1
Объект_Наименование|1
Объект_Примечание|1
Персона|1
Примечания_ФиксированныеУмолчания|1

(обработано строк: 285)
