parent_table                                                                                                                     parent_column                                                                                                                    ref_table                                                                                                                        ref_column                                                                                                                      
Документ                                                                                                                         ID_Контрагент                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Документ                                                                                                                         ID_СвояФирма                                                                                                                     Контрагент                                                                                                                       ID                                                                                                                              
ЖД_Накладная                                                                                                                     ID_Контрагент                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
ЖД_Накладная                                                                                                                     ID_ПлательщикТарифа                                                                                                              Контрагент                                                                                                                       ID                                                                                                                              
ЖД_Накладная_Грузы                                                                                                               ID_UN                                                                                                                            UN_Number                                                                                                                        ID                                                                                                                              
ЖД_Накладная_Грузы                                                                                                               ID_ГНГ                                                                                                                           ГНГ                                                                                                                              GNG_Code                                                                                                                        
ЖД_Накладная_Грузы                                                                                                               ID_ЕТСНГ                                                                                                                         ЕТСНГ                                                                                                                            ETCIS_Code                                                                                                                      
ЖД_Накладная_Грузы                                                                                                               ID_КлассОпасности                                                                                                                КлассОпасностиГруза                                                                                                              ID                                                                                                                              
ЖД_Накладная_Грузы                                                                                                               ID_Накладная                                                                                                                     ЖД_Накладная                                                                                                                     ID                                                                                                                              
Задача                                                                                                                           ID_КА_Запросы                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Задача                                                                                                                           ID_Контрагент                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Задача_КА_Последняя                                                                                                              ID_Контрагент                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_Consignee                                                                                                                     Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_Shipper                                                                                                                       Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_Брокер                                                                                                                        Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_Грузоотправитель                                                                                                              Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_Грузополучатель                                                                                                               Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_Заказчик                                                                                                                      Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_Номинальный_клиент                                                                                                            Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_Номинальный_клиент                                                                                                            Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_ОкАгент                                                                                                                       Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_Перевозчик                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_ПеревозчикПеретарки                                                                                                           Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_Плательщик                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_Поставщик                                                                                                                     Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_СобственнаяФирма                                                                                                              Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_УведомитьКонтрагента                                                                                                          Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_ФидАгент                                                                                                                      Контрагент                                                                                                                       ID                                                                                                                              
Запрос_Клиента                                                                                                                   ID_ЭкспедиторНазначения                                                                                                          Контрагент                                                                                                                       ID                                                                                                                              
