parent_table                                                                                                                     parent_column                                                                                                                    ref_table                                                                                                                        ref_column                                                                                                                      
ЗаявкаНаПеревозку                                                                                                                ID_АдресНазн                                                                                                                     Адрес                                                                                                                            ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_АдресОтпр                                                                                                                     Адрес                                                                                                                            ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_ВидЗагрузки                                                                                                                   Вид_Загрузки                                                                                                                     ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_Водитель                                                                                                                      Персона                                                                                                                          ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_ДоговорСПеревозчиком                                                                                                          Документ                                                                                                                         ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_ДопТС                                                                                                                         Транспортное_Средство                                                                                                            ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_КомуСдать                                                                                                                     Контрагент                                                                                                                       ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_КонтактМенеджер                                                                                                               Персона_Средство_Связи                                                                                                           ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_КонтактНазн                                                                                                                   Персона_Средство_Связи                                                                                                           ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_КонтактОтпр                                                                                                                   Персона_Средство_Связи                                                                                                           ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_КонтактПеревозчика                                                                                                            Персона                                                                                                                          ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_Маршрут                                                                                                                       Маршрут                                                                                                                          ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_Менеджер                                                                                                                      Персона                                                                                                                          ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_Место_Затаможки                                                                                                               Место_обработки_грузов                                                                                                           ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_Место_Растаможки                                                                                                              Место_обработки_грузов                                                                                                           ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_МестоНазн                                                                                                                     Место_обработки_грузов                                                                                                           ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_МестоОтпр                                                                                                                     Место_обработки_грузов                                                                                                           ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_МестоСдачи                                                                                                                    Место_обработки_грузов                                                                                                           ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_НасПунктНазн                                                                                                                  НаселенныйПункт                                                                                                                  ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_НасПунктОтпр                                                                                                                  НаселенныйПункт                                                                                                                  ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_ОсновноеТС                                                                                                                    Транспортное_Средство                                                                                                            ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_Отправитель                                                                                                                   Контрагент                                                                                                                       ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_Перевозчик                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_ПерсонаНазн                                                                                                                   Персона                                                                                                                          ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_ПерсонаОтпр                                                                                                                   Персона                                                                                                                          ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_ПодтипРейса                                                                                                                   Подтип_Рейса                                                                                                                     ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_Получатель                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_СвояФирма                                                                                                                     Контрагент                                                                                                                       ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_СредствоСвязи_Водитель                                                                                                        Персона_Средство_Связи                                                                                                           ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_Статус                                                                                                                        Статус_исполнения_документа                                                                                                      ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_СтраховкаПеревозчика                                                                                                          Документ                                                                                                                         ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_ТипКонтейнера                                                                                                                 Тип_Контейнера                                                                                                                   ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                ID_ТипРейса                                                                                                                      Тип_Рейса                                                                                                                        ID                                                                                                                              
ЗаявкаНаПеревозку                                                                                                                Признак1С                                                                                                                        Признак_Выгрузки_1С                                                                                                              ID                                                                                                                              
ЗаявкаНаПеревозку_Контакты                                                                                                       ID_Заявки                                                                                                                        ЗаявкаНаПеревозку                                                                                                                ID                                                                                                                              
ЗаявкаНаПеревозку_Контакты                                                                                                       ID_Контакт                                                                                                                       Персона                                                                                                                          ID                                                                                                                              
ЗаявкаНаПеревозку_Расчет                                                                                                         ID_ЗаявкаНаПеревозку                                                                                                             ЗаявкаНаПеревозку                                                                                                                ID                                                                                                                              
ЗаявкаНаПеревозку_Расчет                                                                                                         ID_Расчет                                                                                                                        Контейнер_Расчет                                                                                                                 ID                                                                                                                              
ЗаявкаНаПеревозку_Рейс                                                                                                           ID_Заявка                                                                                                                        ЗаявкаНаПеревозку                                                                                                                ID                                                                                                                              
ЗаявкаНаПеревозку_Рейс                                                                                                           ID_КонтИзЗаявкиНаПеревозку                                                                                                       Контейнер                                                                                                                        ID                                                                                                                              
ЗаявкаНаПеревозку_Рейс                                                                                                           ID_Рейс                                                                                                                          Рейс                                                                                                                             ID                                                                                                                              
ЗаявкаНаСтрахование                                                                                                              ID_Валюта                                                                                                                        Валюта                                                                                                                           KOD                                                                                                                             
ЗаявкаНаСтрахование                                                                                                              ID_ВидОплаты                                                                                                                     Вид_Оплаты                                                                                                                       ID                                                                                                                              
ЗаявкаНаСтрахование                                                                                                              ID_Статус                                                                                                                        Статус_исполнения_документа                                                                                                      ID                                                                                                                              
ЗаявкаНаСтрахование                                                                                                              ID_Страховщик                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
ЗаявкаНаСтрахование_Контейнер                                                                                                    ID_Груз                                                                                                                          Контейнер                                                                                                                        ID                                                                                                                              
ЗаявкаНаСтрахование_Контейнер                                                                                                    ID_Заявки                                                                                                                        ЗаявкаНаСтрахование                                                                                                              ID                                                                                                                              
ЗаявкаНаСтрахование_Контейнер                                                                                                    ID_НасПунктОтпр                                                                                                                  НаселенныйПункт                                                                                                                  ID                                                                                                                              
ЗаявкаНаСтрахование_Контейнер                                                                                                    ID_НасПунктПриб                                                                                                                  НаселенныйПункт                                                                                                                  ID                                                                                                                              
ЗаявкаПЛП                                                                                                                        ID_Заявитель                                                                                                                     Контрагент                                                                                                                       ID                                                                                                                              
ЗаявкаПЛП_Контейнер                                                                                                              ID_Заявка                                                                                                                        ЗаявкаПЛП                                                                                                                        ID                                                                                                                              
ЗаявкаПЛП_Контейнер                                                                                                              ID_Контейнер                                                                                                                     Контейнер                                                                                                                        ID                                                                                                                              
ЗаявлениеОВыпускеДТ                                                                                                              ID_ДТ                                                                                                                            Декларация                                                                                                                       ID                                                                                                                              
Инвойс                                                                                                                           ID_Клиент                                                                                                                        Контрагент                                                                                                                       ID                                                                                                                              
Инвойс                                                                                                                           ID_Поставщик                                                                                                                     Контрагент                                                                                                                       ID                                                                                                                              
КвотыНаПеревозки                                                                                                                 ID_Контрагент                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
КвотыНаПеревозки                                                                                                                 ID_ТипКА                                                                                                                         Тип_Контрагента                                                                                                                  ID                                                                                                                              
КодирующаяОрганизация                                                                                                            ID_Организация                                                                                                                   Контрагент                                                                                                                       ID                                                                                                                              
Конверсия                                                                                                                        ID_ПлательщикВал                                                                                                                 Контрагент                                                                                                                       ID                                                                                                                              
Конверсия                                                                                                                        ID_ПлательщикРуб                                                                                                                 Контрагент                                                                                                                       ID                                                                                                                              
Конверсия                                                                                                                        ID_ПолучательВал                                                                                                                 Контрагент                                                                                                                       ID                                                                                                                              
Конверсия                                                                                                                        ID_ПолучательРуб                                                                                                                 Контрагент                                                                                                                       ID                                                                                                                              
Коносамент                                                                                                                       ID_АгентОк                                                                                                                       Контрагент                                                                                                                       ID                                                                                                                              
Коносамент                                                                                                                       ID_АгентФид                                                                                                                      Контрагент                                                                                                                       ID                                                                                                                              
Коносамент                                                                                                                       ID_КлиенПоКС                                                                                                                     Контрагент                                                                                                                       ID                                                                                                                              
Коносамент                                                                                                                       ID_КлиентПоКС                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Коносамент                                                                                                                       ID_Отправитель                                                                                                                   Контрагент                                                                                                                       ID                                                                                                                              
Коносамент                                                                                                                       ID_УведомитьКонтрагента                                                                                                          Контрагент                                                                                                                       ID                                                                                                                              
Коносамент                                                                                                                       ID_Экспедитор                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Коносамент                                                                                                                       ID_ЭкспедиторПогрузка                                                                                                            Контрагент                                                                                                                       ID                                                                                                                              
Коносамент                                                                                                                       ID_ЭкспедиторПрибытие                                                                                                            Контрагент                                                                                                                       ID                                                                                                                              
Коносамент_Груз                                                                                                                  ID_Груз                                                                                                                          Контейнер                                                                                                                        ID                                                                                                                              
Коносамент_Груз                                                                                                                  ID_Коносамент                                                                                                                    Коносамент                                                                                                                       ID                                                                                                                              
Коносамент_Рейс                                                                                                                  ID_Коносамент                                                                                                                    Коносамент                                                                                                                       ID                                                                                                                              
Коносамент_Рейс                                                                                                                  ID_ПодТипОригинал                                                                                                                Подтип_Рейса                                                                                                                     ID                                                                                                                              
Коносамент_Рейс                                                                                                                  ID_Рейс                                                                                                                          Рейс                                                                                                                             ID                                                                                                                              
Контейнер                                                                                                                        ID_Брокер                                                                                                                        Контрагент                                                                                                                       ID                                                                                                                              
Контейнер                                                                                                                        ID_Владелец                                                                                                                      Контрагент                                                                                                                       ID                                                                                                                              
Контейнер                                                                                                                        ID_Грузоотправитель                                                                                                              Контрагент                                                                                                                       ID                                                                                                                              
Контейнер                                                                                                                        ID_Грузополучатель                                                                                                               Контрагент                                                                                                                       ID                                                                                                                              
Контейнер                                                                                                                        ID_КлиентНоминальный                                                                                                             Контрагент                                                                                                                       ID                                                                                                                              
Контейнер                                                                                                                        ID_КлиентНоминальный                                                                                                             Контрагент                                                                                                                       ID                                                                                                                              
